iter	Logloss
0	0.6909702126
1	0.6888389399
2	0.6863019402
3	0.684248461
4	0.6822343377
5	0.6802542023
6	0.6783177099
7	0.6764181192
8	0.6720454683
9	0.6702277083
10	0.6684453268
11	0.6666583133
12	0.6649431156
13	0.6632605126
14	0.6616110671
15	0.6599921592
16	0.6584037324
17	0.6568460469
18	0.6553178336
19	0.6538194428
20	0.6523494419
21	0.6496679741
22	0.6482588898
23	0.6468521307
24	0.6454961296
25	0.6441660265
26	0.6428061903
27	0.6415269808
28	0.6402714093
29	0.6390403746
30	0.6378320545
31	0.6366439205
32	0.6354819348
33	0.6334670844
34	0.6323523273
35	0.6297089519
36	0.6282927506
37	0.6253584659
38	0.6243394193
39	0.6233399371
40	0.6223592587
41	0.6210891656
42	0.6201469453
43	0.6184655998
44	0.6175612807
45	0.6166740839
46	0.6158039677
47	0.6140518462
48	0.6132171429
49	0.6119843616
50	0.6107771032
51	0.6092554913
52	0.6078874142
53	0.6067686685
54	0.6060323807
55	0.6051952235
56	0.6044870635
57	0.6037924706
58	0.6031070993
59	0.6024380346
60	0.601782395
61	0.6008925586
62	0.6002623533
63	0.5988142376
64	0.5978280861
65	0.5956581196
66	0.5944437994
67	0.5936383606
68	0.5930860977
69	0.5925444078
70	0.5920130008
71	0.5914916096
72	0.5909795843
73	0.5902718284
74	0.5888229137
75	0.5883426297
76	0.5878713238
77	0.5872083459
78	0.5867550992
79	0.5844672008
80	0.5837073898
81	0.5832859022
82	0.5828722358
83	0.5824664803
84	0.5818602814
85	0.5813655202
86	0.580982922
87	0.580607657
88	0.5801370071
89	0.5795186928
90	0.5786966313
91	0.5783504996
92	0.5778925517
93	0.5775595712
94	0.5772328626
95	0.5765964752
96	0.5762825259
97	0.5759745057
98	0.5756721595
99	0.5753757119
100	0.5750846219
101	0.5747991189
102	0.5745189202
103	0.5742439146
104	0.57397056
105	0.5737057859
106	0.5733985424
107	0.5731437889
108	0.5728937435
109	0.5722176528
110	0.5719777079
111	0.5717422452
112	0.5715111076
113	0.5709635012
114	0.5702833281
115	0.5700655484
116	0.5682879746
117	0.5680813562
118	0.5678784689
119	0.5676794915
120	0.567484091
121	0.5672924091
122	0.567104267
123	0.5666113142
124	0.5662673974
125	0.5660904345
126	0.5659166527
127	0.5657461297
128	0.5653448237
129	0.5651810615
130	0.5650202291
131	0.5648624107
