iter	Passed	Remaining
0	1	10237
1	2	9656
2	4	9758
3	5	9903
4	7	9640
5	8	9646
6	9	9511
7	11	9426
8	13	9825
9	14	9746
10	15	9797
11	17	9738
12	18	9852
13	20	9896
14	21	9883
15	23	9980
16	25	10269
17	27	10236
18	28	10176
19	30	10182
20	32	10326
21	33	10268
22	35	10266
23	36	10245
24	37	10227
25	39	10231
26	41	10352
27	43	10422
28	44	10378
29	46	10357
30	47	10354
31	49	10340
32	50	10301
33	52	10320
34	53	10298
35	55	10301
36	56	10294
37	58	10309
38	59	10270
39	61	10268
40	62	10247
41	63	10219
42	65	10198
43	66	10192
44	68	10173
45	70	10234
46	71	10221
47	73	10220
48	74	10229
49	76	10215
50	77	10218
51	79	10212
52	80	10221
53	82	10199
54	83	10219
55	85	10218
56	86	10206
57	88	10184
58	89	10217
59	91	10246
60	93	10243
61	94	10229
62	96	10217
63	97	10219
64	99	10237
65	100	10229
66	102	10216
67	104	10264
68	105	10259
69	107	10240
70	109	10286
71	110	10269
72	112	10301
73	114	10308
74	115	10308
75	117	10308
76	118	10286
77	120	10280
78	121	10279
79	123	10277
80	124	10260
81	125	10244
82	127	10222
83	128	10210
84	129	10203
85	131	10198
86	132	10197
87	134	10181
88	135	10185
89	137	10189
90	139	10204
91	140	10190
92	142	10187
93	143	10178
94	145	10177
95	146	10171
96	147	10157
97	149	10150
98	150	10139
99	152	10152
100	154	10162
101	155	10144
102	156	10134
103	158	10151
104	160	10147
105	161	10147
106	163	10149
107	164	10141
108	166	10138
109	168	10158
110	169	10144
111	170	10138
112	172	10126
113	173	10120
114	174	10110
115	176	10108
116	177	10097
117	179	10089
118	180	10083
119	182	10072
120	183	10065
121	184	10058
122	186	10050
123	187	10038
124	189	10034
125	190	10024
126	191	10023
127	193	10012
128	194	10010
129	196	10000
130	197	9986
131	198	9980
132	200	9969
133	201	9960
134	203	9967
135	204	9970
136	206	9961
137	207	9944
138	208	9936
139	210	9937
140	211	9942
141	214	9976
142	215	9977
143	217	9982
144	218	9976
145	220	9969
146	221	9960
147	222	9955
148	224	9948
149	225	9936
150	227	9949
151	228	9940
152	230	9935
153	231	9942
154	233	9938
155	235	9948
156	236	9937
157	237	9937
158	239	9944
159	241	9940
160	242	9936
161	244	9938
162	245	9929
163	246	9922
164	248	9914
165	249	9906
166	250	9902
167	252	9897
168	253	9888
169	254	9880
170	256	9873
171	257	9870
172	259	9869
173	260	9864
174	261	9854
175	263	9845
176	264	9852
177	266	9844
178	267	9843
179	269	9841
180	270	9838
181	271	9825
182	273	9826
183	275	9836
184	276	9827
185	277	9816
186	279	9813
187	280	9811
188	281	9801
189	283	9790
190	284	9793
191	286	9783
192	287	9791
193	289	9781
194	290	9779
195	292	9781
196	293	9772
197	294	9766
198	296	9767
199	297	9769
200	299	9763
201	301	9776
202	302	9774
203	303	9767
204	305	9777
205	307	9774
206	308	9771
207	310	9769
208	311	9767
209	313	9762
210	314	9774
211	316	9787
212	318	9782
213	319	9779
214	321	9774
215	322	9768
216	323	9759
217	325	9758
218	326	9761
219	328	9765
220	330	9764
221	331	9760
222	332	9754
223	334	9748
224	335	9744
225	336	9738
226	338	9741
227	339	9736
228	341	9728
229	343	9743
230	344	9736
231	346	9736
232	347	9741
233	349	9743
234	350	9739
235	352	9739
236	353	9738
237	355	9732
238	356	9731
239	358	9725
240	359	9721
241	360	9714
242	362	9707
243	363	9700
244	364	9700
245	366	9697
246	367	9693
247	369	9691
248	370	9694
249	372	9691
250	373	9684
251	374	9682
252	376	9680
253	378	9681
254	379	9674
255	380	9668
256	381	9663
257	383	9658
258	384	9651
259	386	9652
260	387	9644
261	388	9640
262	391	9659
263	392	9653
264	393	9650
265	395	9651
266	396	9644
267	397	9637
268	399	9638
269	400	9631
270	402	9626
271	403	9626
272	405	9622
273	406	9619
274	407	9617
275	409	9613
276	410	9608
277	412	9607
278	413	9605
279	415	9622
280	417	9628
281	419	9631
282	420	9628
283	422	9628
284	424	9635
285	425	9635
286	427	9635
287	428	9634
288	430	9630
289	431	9631
290	433	9629
291	434	9627
292	436	9624
293	437	9620
294	438	9617
295	440	9616
296	441	9614
297	443	9609
298	444	9603
299	446	9602
300	447	9597
301	448	9597
302	450	9593
303	451	9589
304	452	9585
305	454	9583
306	456	9584
307	457	9585
308	458	9580
309	460	9582
310	461	9578
311	464	9589
312	465	9590
313	467	9586
314	468	9581
315	469	9578
316	471	9576
317	473	9584
318	474	9584
319	476	9583
320	477	9580
321	479	9577
322	480	9574
323	481	9569
324	483	9570
325	484	9566
326	486	9566
327	487	9563
328	489	9562
329	490	9561
330	492	9559
331	493	9556
332	494	9551
333	497	9561
334	498	9561
335	500	9564
336	501	9562
337	503	9563
338	504	9562
339	506	9559
340	507	9558
341	509	9562
342	511	9560
343	512	9561
344	514	9556
345	515	9557
346	516	9551
347	518	9552
348	519	9550
349	521	9549
350	522	9548
351	525	9560
352	526	9560
353	528	9559
354	530	9561
355	531	9560
356	532	9557
357	534	9558
358	535	9554
359	537	9556
360	538	9551
361	540	9546
362	541	9543
363	543	9540
364	544	9536
365	546	9537
366	547	9532
367	548	9528
368	550	9528
369	551	9525
370	553	9522
371	554	9524
372	556	9524
373	557	9519
374	558	9513
375	560	9508
376	561	9509
377	563	9512
378	565	9511
379	566	9506
380	567	9508
381	569	9504
382	571	9506
383	572	9509
384	574	9514
385	576	9513
386	577	9513
387	579	9516
388	580	9512
389	582	9508
390	583	9509
391	585	9510
392	586	9508
393	588	9504
394	589	9502
395	591	9500
396	592	9497
397	594	9498
398	595	9495
399	596	9490
400	598	9489
401	599	9487
402	601	9483
403	602	9481
404	604	9481
405	605	9477
406	607	9474
407	608	9469
408	609	9466
409	611	9464
410	612	9461
411	614	9461
412	615	9456
413	616	9451
414	618	9447
415	619	9444
416	620	9440
417	622	9436
418	623	9433
419	624	9428
420	626	9428
421	628	9432
422	629	9430
423	631	9430
424	632	9425
425	634	9425
426	635	9423
427	636	9420
428	638	9415
429	639	9413
430	640	9411
431	642	9410
432	645	9423
433	646	9424
434	647	9419
435	649	9417
436	650	9417
437	652	9413
438	653	9408
439	654	9404
440	656	9402
441	657	9400
442	659	9396
443	660	9392
444	662	9394
445	663	9393
446	665	9396
447	666	9393
448	668	9388
449	669	9384
450	670	9379
451	671	9374
452	673	9370
453	674	9367
454	676	9368
455	677	9364
456	679	9363
457	680	9360
458	681	9355
459	682	9351
460	684	9350
461	685	9345
462	686	9341
463	688	9343
464	689	9338
465	691	9335
466	692	9331
467	693	9327
468	695	9323
469	696	9319
470	697	9315
471	699	9313
472	700	9314
473	702	9311
474	703	9309
475	705	9306
476	706	9307
477	708	9303
478	709	9304
479	711	9302
480	712	9297
481	714	9298
482	715	9300
483	717	9302
484	719	9302
485	720	9305
486	722	9302
487	723	9298
488	724	9295
489	726	9291
490	727	9289
491	729	9291
492	730	9288
493	732	9292
494	734	9291
495	735	9288
496	736	9284
497	738	9283
498	739	9281
499	741	9278
500	742	9279
501	744	9276
502	745	9272
503	747	9271
504	748	9269
505	749	9266
506	751	9270
507	753	9266
508	755	9278
509	756	9275
510	758	9273
511	759	9269
512	761	9266
513	762	9262
514	763	9258
515	764	9255
516	766	9253
517	768	9253
518	769	9250
519	770	9250
520	772	9248
521	773	9247
522	775	9247
523	776	9243
524	778	9245
525	780	9246
526	781	9246
527	783	9243
528	784	9242
529	786	9242
530	787	9239
531	789	9236
532	790	9233
533	791	9231
534	793	9228
535	794	9225
536	795	9222
537	797	9223
538	799	9223
539	801	9226
540	802	9222
541	803	9222
542	805	9220
543	807	9220
544	808	9218
545	809	9215
546	811	9211
547	812	9209
548	813	9205
549	815	9201
550	817	9206
551	818	9203
552	819	9201
553	821	9199
554	822	9197
555	824	9194
556	825	9191
557	827	9194
558	828	9190
559	830	9190
560	832	9194
561	834	9200
562	835	9198
563	837	9198
564	838	9196
565	840	9193
566	841	9190
567	842	9187
568	845	9193
569	846	9189
570	847	9186
571	849	9183
572	850	9180
573	851	9177
574	853	9173
575	854	9170
576	856	9173
577	857	9170
578	858	9167
579	860	9168
580	862	9169
581	863	9166
582	865	9165
583	866	9165
584	868	9164
585	869	9163
586	871	9161
587	872	9158
588	873	9154
589	875	9152
590	876	9149
591	878	9146
592	879	9143
593	880	9140
594	882	9139
595	883	9136
596	884	9133
597	886	9130
598	888	9132
599	889	9131
600	890	9128
601	892	9127
602	893	9123
603	895	9123
604	896	9122
605	898	9120
606	899	9117
607	901	9115
608	902	9114
609	903	9111
610	905	9108
611	906	9106
612	908	9105
613	909	9104
614	911	9101
615	912	9101
616	914	9099
617	915	9096
618	916	9093
619	918	9092
620	919	9088
621	920	9085
622	922	9083
623	923	9080
624	925	9084
625	927	9083
626	928	9081
627	929	9078
628	931	9076
629	933	9081
630	935	9082
631	936	9079
632	937	9077
633	939	9074
634	940	9071
635	942	9070
636	943	9067
637	945	9066
638	946	9064
639	947	9063
640	949	9062
641	950	9059
642	952	9055
643	953	9053
644	954	9051
645	956	9047
646	957	9044
647	958	9043
648	960	9039
649	961	9037
650	963	9039
651	964	9037
652	966	9039
653	968	9039
654	969	9037
655	971	9036
656	972	9034
657	974	9033
658	975	9033
659	977	9031
660	978	9029
661	980	9031
662	982	9029
663	983	9028
664	984	9025
665	986	9024
666	988	9026
667	989	9024
668	991	9023
669	992	9021
670	994	9018
671	995	9016
672	997	9016
673	998	9013
674	999	9010
675	1001	9010
676	1002	9008
677	1004	9005
678	1005	9003
679	1007	9005
680	1008	9002
681	1010	9000
682	1011	8998
683	1012	8996
684	1014	8995
685	1016	8995
686	1017	8995
687	1019	8995
688	1020	8993
689	1022	8990
690	1023	8988
691	1024	8985
692	1026	8984
693	1027	8981
694	1029	8980
695	1030	8978
696	1032	8975
697	1033	8973
698	1034	8972
699	1036	8973
700	1038	8970
701	1039	8969
702	1040	8966
703	1042	8967
704	1044	8966
705	1045	8964
706	1046	8961
707	1048	8959
708	1049	8957
709	1051	8958
710	1052	8956
711	1054	8954
712	1055	8953
713	1057	8952
714	1059	8952
715	1060	8953
716	1062	8952
717	1064	8953
718	1065	8953
719	1067	8953
720	1068	8950
721	1070	8949
722	1072	8950
723	1073	8950
724	1075	8950
725	1076	8948
726	1078	8947
727	1079	8944
728	1081	8942
729	1082	8941
730	1084	8939
731	1085	8937
732	1086	8934
733	1088	8933
734	1089	8933
735	1091	8930
736	1092	8928
737	1094	8926
738	1096	8929
739	1097	8926
740	1098	8923
741	1101	8932
742	1103	8931
743	1104	8929
744	1105	8927
745	1107	8925
746	1108	8924
747	1110	8924
748	1112	8925
749	1113	8923
750	1115	8921
751	1116	8920
752	1117	8917
753	1119	8916
754	1121	8915
755	1122	8912
756	1123	8909
757	1125	8909
758	1126	8907
759	1128	8908
760	1129	8906
761	1131	8903
762	1132	8903
763	1134	8902
764	1135	8900
765	1137	8899
766	1138	8897
767	1140	8896
768	1141	8894
769	1143	8892
770	1145	8893
771	1146	8890
772	1147	8887
773	1148	8884
774	1150	8881
775	1151	8878
776	1153	8876
777	1154	8874
778	1155	8871
779	1156	8868
780	1158	8867
781	1159	8864
782	1161	8863
783	1162	8863
784	1164	8860
785	1166	8861
786	1167	8858
787	1168	8855
788	1169	8851
789	1171	8853
790	1173	8854
791	1174	8851
792	1176	8850
793	1177	8849
794	1179	8846
795	1180	8846
796	1182	8845
797	1183	8842
798	1185	8840
799	1186	8839
800	1188	8841
801	1190	8840
802	1191	8838
803	1193	8842
804	1195	8841
805	1196	8840
806	1198	8839
807	1199	8837
808	1201	8834
809	1202	8831
810	1203	8829
811	1205	8828
812	1206	8825
813	1207	8822
814	1209	8820
815	1210	8818
816	1212	8816
817	1213	8813
818	1214	8812
819	1216	8809
820	1217	8807
821	1219	8804
822	1220	8802
823	1221	8800
824	1223	8798
825	1224	8798
826	1226	8797
827	1228	8796
828	1229	8795
829	1230	8792
830	1232	8791
831	1233	8788
832	1234	8785
833	1236	8785
834	1238	8783
835	1239	8780
836	1240	8778
837	1241	8775
838	1243	8772
839	1244	8770
840	1245	8767
841	1247	8766
842	1248	8763
843	1250	8763
844	1251	8760
845	1253	8760
846	1255	8760
847	1256	8757
848	1257	8756
849	1259	8753
850	1260	8752
851	1262	8754
852	1264	8751
853	1265	8748
854	1266	8746
855	1268	8744
856	1269	8741
857	1270	8741
858	1272	8738
859	1273	8737
860	1275	8735
861	1276	8732
862	1278	8731
863	1279	8728
864	1280	8727
865	1282	8727
866	1283	8725
867	1285	8724
868	1287	8724
869	1288	8722
870	1290	8722
871	1291	8722
872	1293	8721
873	1294	8719
874	1296	8717
875	1297	8715
876	1299	8713
877	1300	8710
878	1301	8708
879	1303	8705
880	1304	8702
881	1305	8699
882	1306	8697
883	1308	8695
884	1309	8694
885	1311	8691
886	1312	8690
887	1314	8687
888	1315	8684
889	1316	8683
890	1318	8682
891	1319	8679
892	1320	8676
893	1322	8674
894	1323	8672
895	1325	8671
896	1326	8670
897	1328	8668
898	1329	8667
899	1331	8666
900	1333	8667
901	1334	8666
902	1336	8664
903	1337	8662
904	1338	8659
905	1340	8657
906	1341	8655
907	1342	8653
908	1344	8651
909	1345	8651
910	1347	8648
911	1348	8647
912	1349	8644
913	1351	8641
